Ti,Ni,Cu,Hf,Co,Zr,Pd,Ta,Nb,Al,热加工温度/℃,热加工率/%,一级处理温度/℃,一级处理时间/min,冷却方式,冷加工温度/℃,冷加工率/%,二级处理温度/℃,二级处理时间/min,冷却方式,应力 /Mpa,Ms/℃,Mp,Mf,As,Ap,Af,hysteresis,method,总应变,应变回复率,workout J/cm3,ref,label,备注,,,,
39.7,40.3,,15,,,5,,,,,,1050,120,FC,,,350,180,WQ,700,88.1656,,,,,,66.4699,1,0.96,60,4.032,270-2018,TiNiHfPd,,,,,
39.7,40.3,,15,,,5,,,,,,1050,120,FC,,,350,180,WQ,1000,101.509,,,,,,60.1765,1,1.1,50,5.5,270-2018,TiNiHfPd,,,,,
44.7,40.3,,10,,,5,,,,,,1050,120,FC,,,500,180,WQ,300,44.3567,,,,,,35.794,1,0.74,87,1.9314,270-2018,TiNiHfPd,,,,,
44.7,40.3,,10,,,5,,,,,,1050,120,FC,,,500,180,WQ,500,54.8523,,,,,,51.2382,1,1.01,70,3.535,270-2018,TiNiHfPd,,,,,
44.7,40.3,,10,,,5,,,,,,1050,120,FC,,,500,180,WQ,700,62.7875,,,,,,52.2774,1,1.24,58,5.0344,270-2018,TiNiHfPd,,,,,
44.7,40.3,,10,,,5,,,,,,1050,120,FC,,,500,180,WQ,1000,75.2741,,,,,,44.412,1,1.5,40,6,270-2018,TiNiHfPd,,,,,
39.7,40.3,,15,,,5,,,,,,1050,120,FC,,,350,180,WQ,300,128.25,,,,,,54.868,1,0.4,50,0.6,270-2018,TiNiHfPd,,,,,
39.7,40.3,,15,,,5,,,,,,1050,120,FC,,,350,180,WQ,500,131.151,,,,,,53.884,1,0.4,50,1,270-2018,TiNiHfPd,,,,,
39.7,40.3,,15,,,5,,,,,,1050,120,FC,,,350,180,WQ,700,136.421,,,,,,66.077,1,0.5,40,1.4,270-2018,TiNiHfPd,,,,,
39.7,40.3,,15,,,5,,,,,,1050,120,FC,,,350,180,WQ,1000,139.314,,,,,,50.737,1,0.7,30,2.1,270-2018,TiNiHfPd,,,,,
44.7,40.3,,10,,,5,,,,,,1050,120,FC,,,500,180,WQ,300,75.9901,,,,,,48.713,1,0.6,80,1.44,270-2018,TiNiHfPd,,,,,
44.7,40.3,,10,,,5,,,,,,1050,120,FC,,,500,180,WQ,500,86.2376,,,,,,52.129,1,0.97,64,3.104,270-2018,TiNiHfPd,,,,,
44.7,40.3,,10,,,5,,,,,,1050,120,FC,,,500,180,WQ,700,92.0297,,,,,,60.298,1,1.21,50,4.235,270-2018,TiNiHfPd,,,,,
30.2,49.8,,20,,,,,,,900,80,,,,,,,,,100,284.431,,,,,,55.0397,0,0.597643,100,0.597643,73-2018,TiNiHf,,,,,
30.2,49.8,,20,,,,,,,900,80,,,,,,,,,200,294.162,,,,,,62.6938,0,1.79638,100,3.59276,73-2018,TiNiHf,,,,,
30.2,49.8,,20,,,,,,,900,80,,,,,,,,,300,295.641,,,,,,70.8786,0,2.51416,100,7.54248,73-2018,TiNiHf,,,,,
